|ITEM_CODE|ITEM_NAME1                                      |ITEM_NAME2                            |VENDER_CODE|VENDER_NAME                                        |ORDER_DATE             |BUYER_CODE|BUYER_NAME    |
|240060031|APED251218CX4 SIZE 510MMX100M/RL                |CCL(FLEXIBLE & RIGID) DUMMY           |1004099    |CIRCUIT MATERIALS INC.                             |2023-12-07 00:00:00.000|223       |Thippawan.Kha |
|240060032|APED251218CX3 SIZE 260MMX100M/RL                |CCL (FLEXIBLE & RRIGID) DUMMY         |1004099    |CIRCUIT MATERIALS INC.                             |2023-12-07 00:00:00.000|223       |Thippawan.Kha |
|240060033|PNS H1012RAH! 260MM X 100M                      |CCL (FLEXIBLE & RIGID)                |1003213    |SUMITOMO CORPORATION THAILAND LTD.                 |2023-04-19 00:00:00.000|246       |Kanogporn.T   |
|240060034|RIGID CCL MODEL:R87051110KEFT FR-1 SIZE1220X1020|CCL(DUMMY)                            |1004382    |PANASONIC MANUFACTURING AYUTHAYA CO., LTD.         |2021-06-08 00:00:00.000|233       |Passara       |
|240060035|APED251218CX2 SIZE 500MM X 50M/RL               |CCL (FLEXIBLE & RIGID DUMMY           |1004099    |CIRCUIT MATERIALS INC.                             |2021-07-31 00:00:00.000|237       |Sunee         |
|240070009|ISOPHORONE (T 980) : (16 KG/GL)                 |SOLVENT (MSDS-FLAMMABLE&IRRITATION)   |1001300    |P.GENERAL TRADING LTD.,PART.                       |2022-11-25 00:00:00.000|229       |Chanthri      |
|240070022|TRITON X-100 (CLAENING AGENT) 20LT/DU           |                                      |1002829    |DOU YEE ENTERPRISES (THAILAND)CO.,LTD.             |2017-09-06 00:00:00.000|906       |Oranut.B      |
|240070057|SULFURIC ACID(H2SO4) 89%(20KGS/CAN) RCI         |CHEMICAL                              |1001489    |RCI LABSCAN LIMITED.                               |2024-02-28 00:00:00.000|233       |Passara       |
|240070058|SODIUM HYDROXIDE 50%(NAOH 50%) 25 KG/CAN        |CHEMICAL                              |1000742    |INTERPRETIVE CO.,LTD.                              |2024-02-26 00:00:00.000|233       |Passara       |
|240070061|HYDROCHLORIC ACID 35% (HCL) 20 KGS/CAN          |CHEMICAL                              |1000742    |INTERPRETIVE CO.,LTD.                              |2024-02-26 00:00:00.000|233       |Passara       |
|240070065|INTEROX ST 35 (30 KGS/CAN) (NO RETURN PAIL)     |CHEMICAL                              |1000604    |GK FINECHEM CO.,LTD.                               |2024-02-22 00:00:00.000|233       |Passara       |
|240070067|SODIUM CHLORIDE 25 KGS/BAG (NACL)               |CHEMICAL                              |1000162    |BANGYAI SUPPLY LTD.,PART.                          |2024-01-30 00:00:00.000|233       |Passara       |
|240070068|CALCIUM CHLORIDE 74 %(5KGS/BAG)                 |CHEMICAL                              |1000162    |BANGYAI SUPPLY LTD.,PART.                          |2024-02-22 00:00:00.000|233       |Passara       |
|240070069|COPPER CHLORIDE DIHYDRATE (25KG/BAG)            |CHEMICAL                              |1000120    |ASIAN CHEMICAL CO.,LTD.                            |2015-01-30 00:00:00.000|206       |Sasithorn     |
|240070072|HYDROCHLORIC ACID 37% (100317-2500)             |CHEMICAL                              |1001044    |MERCK LTD.                                         |2024-02-22 00:00:00.000|233       |Passara       |
|240070073|SULFAMIC ACID 99.5% (25 KGS/BAG) (INDO)         |CHEMICAL                              |1000527    |EXTRA CO.,LTD.                                     |2018-05-02 00:00:00.000|906       |Oranut.B      |
|240070075|SODIUM SULPHIDE (25 KGS/BAG)                    |CHEMICAL                              |1000594    |GEMON CO.,LTD.                                     |2018-03-02 00:00:00.000|906       |Oranut.B      |
|240070076|ACETIC ACID GLACIAL 99.5% (4 LT/BT)             |CHEMICAL                              |1001489    |RCI LABSCAN LIMITED.                               |2024-01-23 00:00:00.000|233       |Passara       |
|240070077|NITRIC ACID 70% EG-GRADE (R-G802602I) 30KG./TK. |CHEMICAL                              |1001489    |RCI LABSCAN LIMITED.                               |2018-05-10 00:00:00.000|906       |Oranut.B      |
|240070078|SODIUM CARBONATE 2KG./BAG (NA2CO3) (10 KG/PACK) |CHEMICAL                              |1000162    |BANGYAI SUPPLY LTD.,PART.                          |2024-02-26 00:00:00.000|233       |Passara       |
|240070079|SODIUM CARBONATE 5KG./BAG (NA2CO3) (20 KG/PACK) |CHEMICAL                              |1000162    |BANGYAI SUPPLY LTD.,PART.                          |2024-02-26 00:00:00.000|233       |Passara       |
|240070082|ISOPROPYL ALCOHOL (COMGRADE) IPA 99.9%(15KG/CN) |CHEMICAL                              |1002339    |ZENITH SCIENCE CO.,LTD                             |2023-10-09 00:00:00.000|233       |Passara       |
|240070083|CHEMICAL FOR BOILER MATCH KX-102 (20 LT/CN)     |CHEMICAL                              |1000825    |K Y INTERTRADE CO.,LTD.                            |2023-11-07 00:00:00.000|233       |Passara       |
|240070108|TREATMET L-1 (200 KGS/DRUM)                     |CHEMICAL                              |1002129    |TREATEARTH CO.,LTD.                                |2022-03-23 00:00:00.000|233       |Passara       |
|240070113|COOLANT OIL SHELL RISCUT C80 HC                 |(20 LT/DRUM)                          |1000710    |IIDA-SEVEN SUNS CO.,LTD.                           |2023-12-25 00:00:00.000|130       |PR-Phattama   |
|240070129|POTASSIUM PERMANGANATE, AJAX, 500GM/BT          |CHEMICAL                              |1000110    |ARSOM CO.,LTD.                                     |2014-05-21 00:00:00.000|206       |Sasithorn     |
|240070177|ANTI CORROSION CRC 3005 (3-36 BULK) (300 G)     |                                      |1000358    |CHOTIWAT MACHINERY LTD.,PART.                      |2023-05-16 00:00:00.000|130       |PR-Phattama   |
|240070181|GB-1400MA ( 1 CAN/20 LT)                        |CHEMICAL                              |1002804    |SATO-SHOJI (THAILAND) CO., LTD.                    |2024-02-14 00:00:00.000|233       |Passara       |
|240070182|SULFURIC ACID(H2SO4) 89%(20KGS/TANK)PATA/KOREA  |CHEMICAL                              |1001336    |PATA CHEMICALS & MACHINERY CO.,LTD.                |2014-01-23 00:00:00.000|206       |Sasithorn     |
|240070189|CUPRAPRO S8 (25 KG/DRUM)                        |                                      |1000129    |ATOTECH (THAILAND) CO.,LTD.                        |2014-06-02 00:00:00.000|222       |Piyaporn.Pr   |
